Time,Channel A
(s),(V)

-0.25148007,1.93487300
-0.25146007,1.88985900
-0.25144007,1.84484400
-0.25142007,1.93487300
-0.25140007,1.93487300
-0.25138007,1.88985900
-0.25136007,1.93487300
-0.25134007,1.84484400
-0.25132007,1.88985900
-0.25130007,1.84484400
-0.25128007,1.84484400
-0.25126007,1.84484400
-0.25124007,1.93487300
-0.25122007,1.93487300
-0.25120007,1.93487300
-0.25118007,1.88985900
-0.25116007,1.93487300
-0.25114007,1.93487300
-0.25112007,1.93487300
-0.25110007,1.88985900
-0.25108007,1.93487300
-0.25106007,1.93487300
-0.25104007,1.93487300
-0.25102007,1.88985900
-0.25100007,1.88985900
-0.25098007,1.88985900
-0.25096007,1.88985900
-0.25094007,1.88985900
-0.25092007,1.88985900
-0.25090007,1.88985900
-0.25088007,1.93487300
-0.25086007,1.88985900
-0.25084007,1.88985900
-0.25082007,1.88985900
-0.25080007,1.93487300
-0.25078007,1.88985900
-0.25076007,1.88985900
-0.25074007,1.93487300
-0.25072007,1.93487300
-0.25070007,1.93487300
-0.25068007,1.88985900
-0.25066007,1.93487300
-0.25064007,1.88985900
-0.25062007,1.93487300
-0.25060007,1.93487300
-0.25058007,1.93487300
-0.25056007,1.88985900
-0.25054007,1.84484400
-0.25052007,1.84484400
-0.25050007,1.84484400
-0.25048007,1.84484400
-0.25046007,1.88985900
-0.25044007,1.88985900
-0.25042007,1.88985900
-0.25040007,1.88985900
-0.25038007,1.88985900
-0.25036007,1.84484400
-0.25034007,1.93487300
-0.25032007,1.93487300
-0.25030007,1.93487300
-0.25028007,1.88985900
-0.25026007,1.93487300
-0.25024007,1.93487300
-0.25022007,1.93487300
-0.25020007,1.93487300
-0.25018007,1.93487300
-0.25016007,1.93487300
-0.25014007,1.93487300
-0.25012007,1.93487300
-0.25010007,1.88985900
-0.25008007,1.88985900
-0.25006007,1.88985900
-0.25004007,1.88985900
-0.25002007,1.88985900
-0.25000007,1.93487300
-0.24998007,1.93487300
-0.24996007,1.93487300
-0.24994007,1.88985900
-0.24992007,1.93487300
-0.24990007,1.93487300
-0.24988007,1.93487300
-0.24986007,1.93487300
-0.24984007,1.93487300
-0.24982007,1.93487300
-0.24980007,1.93487300
-0.24978007,1.93487300
-0.24976007,1.84484400
-0.24974007,1.84484400
-0.24972007,1.84484400
-0.24970007,1.88985900
-0.24968007,1.88985900
-0.24966007,1.84484400
-0.24964007,1.84484400
-0.24962007,1.88985900
-0.24960007,1.93487300
-0.24958007,1.84484400
-0.24956007,1.88985900
-0.24954007,1.88985900
-0.24952007,1.93487300
-0.24950007,1.93487300
-0.24948007,1.93487300
-0.24946007,1.93487300
-0.24944007,1.93487300
-0.24942007,1.93487300
-0.24940007,1.93487300
-0.24938007,1.88985900
-0.24936007,1.88985900
-0.24934007,1.88985900
-0.24932007,1.93487300
-0.24930007,1.84484400
-0.24928007,1.84484400
-0.24926007,1.84484400
-0.24924007,1.93487300
-0.24922007,1.88985900
-0.24920007,1.93487300
-0.24918007,1.84484400
-0.24916007,1.84484400
-0.24914007,1.88985900
-0.24912007,1.88985900
-0.24910007,1.88985900
-0.24908007,1.84484400
-0.24906007,1.88985900
-0.24904007,1.84484400
-0.24902007,1.88985900
-0.24900007,1.84484400
-0.24898007,1.88985900
-0.24896007,1.88985900
-0.24894007,1.88985900
-0.24892007,1.84484400
-0.24890007,1.88985900
-0.24888007,1.93487300
-0.24886007,1.88985900
-0.24884007,1.93487300
-0.24882007,1.93487300
-0.24880007,1.88985900
-0.24878007,1.93487300
-0.24876007,1.97988800
-0.24874007,1.97988800
-0.24872007,1.93487300
-0.24870007,1.93487300
-0.24868007,1.93487300
