Time,Channel A,Channel B
(s),(V),(V)

-1.77179988,0.46427810,0.22400590
-1.77169988,0.46427810,0.22400590
-1.77159988,0.46427810,0.22400590
-1.77149988,0.46427810,0.22400590
-1.77139988,0.46427810,0.22400590
-1.77129988,0.46427810,0.22400590
-1.77119988,0.46427810,0.22400590
-1.77109988,0.46427810,0.22400590
-1.77099988,0.46427810,0.22400590
-1.77089988,0.46427810,0.22400590
-1.77079988,0.46427810,0.22400590
-1.77069988,0.46427810,0.22400590
-1.77059988,0.46427810,0.22400590
-1.77049988,0.46427810,0.22400590
-1.77039988,0.46427810,0.22400590
-1.77029988,0.46427810,0.22400590
-1.77019988,0.46427810,0.22400590
-1.77009988,0.46427810,0.22400590
-1.76999988,0.46427810,0.22400590
-1.76989988,0.46427810,0.22400590
-1.76979988,0.46427810,0.22400590
-1.76969988,0.46427810,0.21503340
-1.76959988,0.46427810,0.22400590
-1.76949988,0.46427810,0.22400590
-1.76939988,0.46427810,0.22400590
-1.76929988,0.46427810,0.21503340
-1.76919988,0.46427810,0.21503340
-1.76909988,0.46427810,0.21503340
-1.76899988,0.46427810,0.21503340
-1.76889988,0.46427810,0.22400590
-1.76879988,0.46427810,0.22400590
-1.76869988,0.46427810,0.22400590
-1.76859988,0.46427810,0.21503340
-1.76849988,0.46427810,0.21503340
-1.76839988,0.46427810,0.22400590
-1.76829988,0.46427810,0.22400590
-1.76819988,0.46427810,0.22400590
-1.76809988,0.46427810,0.22400590
-1.76799988,0.46427810,0.21503340
-1.76789988,0.46427810,0.22400590
-1.76779988,0.46427810,0.21503340
-1.76769988,0.46427810,0.22400590
-1.76759988,0.46427810,0.22400590
-1.76749988,0.46427810,0.22400590
-1.76739988,0.46427810,0.22400590
-1.76729988,0.46427810,0.22400590
-1.76719988,0.46427810,0.21503340
-1.76709988,0.46427810,0.22400590
-1.76699988,0.46427810,0.22400590
-1.76689988,0.46427810,0.22400590
-1.76679988,0.46427810,0.22400590
-1.76669988,0.46427810,0.21503340
-1.76659988,0.46427810,0.21503340
-1.76649988,0.46427810,0.22400590
-1.76639988,0.46427810,0.22400590
-1.76629988,0.46427810,0.22400590
-1.76619988,0.46427810,0.22400590
-1.76609988,0.46427810,0.22400590
-1.76599988,0.46427810,0.22400590
-1.76589988,0.46427810,0.21503340
-1.76579988,0.46427810,0.21503340
-1.76569988,0.46427810,0.22400590
-1.76559988,0.46427810,0.22400590
-1.76549988,0.46427810,0.22400590
-1.76539988,0.46427810,0.22400590
-1.76529988,0.46427810,0.22400590
-1.76519988,0.46427810,0.21503340
